2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:07:05 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:07:05 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 5421 chars
2026-05-11 23:07:05 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:07:05 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:07:05 | INFO    | process_company:3898 |     Metrics:43 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:07:07 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=30, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:07:07 | INFO    | build_multiyear_records:3695 |     ✓ Multi-year (5 periods): 2233 chars
2026-05-11 23:07:22 | DEBUG   | _step_up:717 |   AdaptiveLimiter: step-up → rpm=40, workers=2, backoff_coeff=1.00
2026-05-11 23:07:22 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 473 chars, 5 connectors
2026-05-11 23:07:24 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=32, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:07:24 | INFO    | build_multiyear_records:3717 |     ✓ 3yr 2021-09-25→2023-09-30: 2011 chars
2026-05-11 23:07:30 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=33, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:07:30 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:07:30 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=10]: 2141 chars
2026-05-11 23:07:40 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=34, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:07:40 | INFO    | build_multiyear_records:3717 |     ✓ 3yr 2022-09-24→2024-09-28: 2327 chars
2026-05-11 23:07:52 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=35, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:07:52 | INFO    | build_multiyear_records:3695 |     ✓ Multi-year (5 periods): 2384 chars
2026-05-11 23:07:59 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=36, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:07:59 | INFO    | build_multiyear_records:3717 |     ✓ 3yr 2023-09-30→2025-09-27: 1865 chars
2026-05-11 23:08:00 | INFO    | get_filings:2076 |   10-Q: 8 filings
2026-05-11 23:08:00 | INFO    | process_company:3811 |   ▶ 10-Q | 2023-12-30 | 0000320193-24-000006
2026-05-11 23:08:01 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=+1.74% SPY=+1.39% abnormal=+0.36%
2026-05-11 23:08:01 | INFO    | process_company:3828 |     AR: +0.36% (neutral)
2026-05-11 23:08:03 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/5
2026-05-11 23:08:03 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 1586 chars
2026-05-11 23:08:03 | INFO    | scrape_text_sections:2206 |     Final sections: 2/5 | MD&A: poor (85 chars)
2026-05-11 23:08:03 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 3720 chars
2026-05-11 23:08:03 | INFO    | process_company:3898 |     Metrics:46 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:08:07 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=37, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:08:07 | INFO    | build_multiyear_records:3717 |     ✓ 3yr 2021-06-30→2023-06-30: 2037 chars
2026-05-11 23:08:09 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 388 chars, 6 connectors
2026-05-11 23:08:16 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=39, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:08:16 | INFO    | build_multiyear_records:3717 |     ✓ 3yr 2022-06-30→2024-06-30: 2695 chars
2026-05-11 23:08:17 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=40, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:08:17 | INFO    | generate_analysis_v19:3237 |     V19-3 Auditor cycle 1: score=80, causal=8, missing=['gross_margin_delta']
2026-05-11 23:08:26 | DEBUG   | _step_up:717 |   AdaptiveLimiter: step-up → rpm=40, workers=2, backoff_coeff=1.00
